id,channel_id,duration(sec),domain
4RKbwQweGYg,UCOqU-HfQxoyImaCW2tCDxJA,820,"news debates,news panel discussions,news roundtables,news talk shows"
efNGYGzgFSE,UCOqU-HfQxoyImaCW2tCDxJA,890,"news debates,news panel discussions,news roundtables,news talk shows"
RNuj3qLOJ2A,UCOqU-HfQxoyImaCW2tCDxJA,920,"news debates,news panel discussions,news roundtables,news talk shows"
MSxOOWRFYMM,UCOqU-HfQxoyImaCW2tCDxJA,730,"news debates,news panel discussions,news roundtables,news talk shows"
wyaZptOsqHI,UCOqU-HfQxoyImaCW2tCDxJA,1510,"news debates,news panel discussions,news roundtables,news talk shows"
8rJLJB3IDME,UCWBJVltJOxvWF_BA6Qs4ihQ,321,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
cgGX-nf7KEM,UCMCQsRtK35oihJpioJvWqsg,217,cooking
cgP-bFipH8U,UCOqU-HfQxoyImaCW2tCDxJA,1600,"news debates,news panel discussions,news roundtables,news talk shows"
crKWWCrRHvU,UCOqU-HfQxoyImaCW2tCDxJA,3197,"news debates,news panel discussions,news roundtables,news talk shows"
cs2L3ljIbs0,UCMCQsRtK35oihJpioJvWqsg,424,cooking
cweGoA9vNe4,UCOqU-HfQxoyImaCW2tCDxJA,899,"news debates,news panel discussions,news roundtables,news talk shows"
czde0ZrSqvc,UCOqU-HfQxoyImaCW2tCDxJA,840,"news debates,news panel discussions,news roundtables,news talk shows"
czjp6PPNF4w,UC-upbfbj9RXHsjz4rTUTcSg,643,vlogs
d0I1-2Cz35U,UCOqU-HfQxoyImaCW2tCDxJA,1660,"news debates,news panel discussions,news roundtables,news talk shows"
d3zSxSZprlM,UCOqU-HfQxoyImaCW2tCDxJA,320,"news debates,news panel discussions,news roundtables,news talk shows"
d5xQqDsPDaQ,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
d6Q_NDoP8Qg,UCOqU-HfQxoyImaCW2tCDxJA,3585,"news debates,news panel discussions,news roundtables,news talk shows"
d7fTxvdiXUM,UCQroRFb1JnNLmma4PEEFJgw,467,cooking
