id,channel_id,duration(sec),domain
jKdvAPq7GxE,UCijCXB1S7FVC6GnJ2t8qw7Q,262,music
jKxiWyT8cxo,UCvjnIKVz_oky21epj5WNtmQ,366,music
jL1pLh8i8ro,UCvjnIKVz_oky21epj5WNtmQ,618,music
jLK6WDuiFBg,UC73lNsweYibxCeQ3r48YUAQ,785,vlogs
jM3EHqBrMZI,UCijCXB1S7FVC6GnJ2t8qw7Q,211,music
jMRVeQLCpaQ,UCnp316OSAy7OfcmYEESwjuw,383,music
nmUnarJlk_E,UCtK-nd3rPl_eLeMappMWcWw,411,music
jMx8cIASuhE,UCijCXB1S7FVC6GnJ2t8qw7Q,247,music
jN5NiTcgcRQ,UCijCXB1S7FVC6GnJ2t8qw7Q,207,music
jNfJATaze5o,UC41hszq3ex3RFkRD9rAFO-w,175,music
jQ9-Fcepv_Y,UC41hszq3ex3RFkRD9rAFO-w,235,music
jQM0OM7Y5qo,UCKEQRtPWHkth-qAgpXkGTiA,183,music
jQr1yN2bt6I,UC41hszq3ex3RFkRD9rAFO-w,2212,music
jQwg6brlglc,UCijCXB1S7FVC6GnJ2t8qw7Q,371,music
jRmFuEB7vLY,UCtK-nd3rPl_eLeMappMWcWw,2196,music
jRrH-Oj2KHg,UCtK-nd3rPl_eLeMappMWcWw,231,music
jSh5LkUMOOU,UCijCXB1S7FVC6GnJ2t8qw7Q,168,music
jSnEdj79Le4,UC_CJvCaihWih_T5OQ4sehLw,308,"podcast,vlogs,entertainment talk shows"
jWBjZsXuFW8,UCijCXB1S7FVC6GnJ2t8qw7Q,149,music
jWDS7na-XEo,UCijCXB1S7FVC6GnJ2t8qw7Q,205,music
jWmXoRZlx_M,UCijCXB1S7FVC6GnJ2t8qw7Q,312,music
jWvlPFpvDG8,UC6OH4tj0WzUsxxx_C3K5q5A,260,"entertainment talk shows,vlogs"
jXIpVxk83og,UC41hszq3ex3RFkRD9rAFO-w,409,music
jYQHpz7wcRY,UCijCXB1S7FVC6GnJ2t8qw7Q,179,music
jYf0UG2t6IU,UCcKniBuAZLpR6NhZPZVLSOA,301,music
jZ12_oFLRak,UCLJi2Zps15e1jCCIUfZaPCA,361,music
j_BZBXdZ6oc,UCvjnIKVz_oky21epj5WNtmQ,295,music
jhaw_N6_Cxc,UCcKniBuAZLpR6NhZPZVLSOA,240,music
jZHsTKks184,UCijCXB1S7FVC6GnJ2t8qw7Q,223,music
jZUw-ccPxuY,UCijCXB1S7FVC6GnJ2t8qw7Q,222,music
j_cz6ZpJBAg,UCccAwNoKhBCgCFCeJqbdapQ,329,tv serials
jaB-j2TC2mc,UCvjnIKVz_oky21epj5WNtmQ,551,music
jb3jt9R_DyY,UCijCXB1S7FVC6GnJ2t8qw7Q,233,music
jc2hjDln_us,UC6OH4tj0WzUsxxx_C3K5q5A,351,"entertainment talk shows,vlogs"
jcFL8AMuGlo,UCCVwvfRvKZBH-WVv5701iwQ,290,music
jcvbyoBraJ4,UC4SqF4b1eqJal3b4RmOzP1w,561,music
jdX2oH6UKaE,UCijCXB1S7FVC6GnJ2t8qw7Q,235,music
jd_xpzY4BTU,UC73lNsweYibxCeQ3r48YUAQ,897,vlogs
jeDWSaA6HHc,UCijCXB1S7FVC6GnJ2t8qw7Q,182,music
jehoslXjsWc,UCijCXB1S7FVC6GnJ2t8qw7Q,267,music
o9Nu0aW-wD4,UCtK-nd3rPl_eLeMappMWcWw,210,music
jer-KkenWKM,UCijCXB1S7FVC6GnJ2t8qw7Q,163,music
jeydoDqwTvg,UCijCXB1S7FVC6GnJ2t8qw7Q,251,music
jfCwc2EuqP4,UC6OH4tj0WzUsxxx_C3K5q5A,315,"entertainment talk shows,vlogs"
kthQBmQW2FQ,UC4SqF4b1eqJal3b4RmOzP1w,578,music
CXNbMtebvnA,UC41hszq3ex3RFkRD9rAFO-w,512,music
huipBnYXy34,UCtK-nd3rPl_eLeMappMWcWw,436,music
mgdVin7FRSI,UCtK-nd3rPl_eLeMappMWcWw,224,music
nGvQkVeYYT8,UCCVwvfRvKZBH-WVv5701iwQ,315,music
le19rB_kHN8,UCijCXB1S7FVC6GnJ2t8qw7Q,419,music
leMFGQrSQa8,UCijCXB1S7FVC6GnJ2t8qw7Q,188,music
leosEh2rW-Q,UCKEQRtPWHkth-qAgpXkGTiA,1034,music
lfRCxC2WhDQ,UCccAwNoKhBCgCFCeJqbdapQ,479,tv serials
lfUl7uXhhIg,UCnp316OSAy7OfcmYEESwjuw,328,music
lh1Q4ndoD6A,UCvjnIKVz_oky21epj5WNtmQ,283,music
lhmtGso_Nwo,UCtR3hDuN5BMW9PHo9GTqTwQ,667,music
lhp760sPFE0,UCijCXB1S7FVC6GnJ2t8qw7Q,224,music
liRiU1kW7R8,UC41hszq3ex3RFkRD9rAFO-w,841,music
liv7aVSIhMc,UC41hszq3ex3RFkRD9rAFO-w,288,music
ljrPAWfofBo,UCtR3hDuN5BMW9PHo9GTqTwQ,343,music
lknfUDgQ67I,UCijCXB1S7FVC6GnJ2t8qw7Q,308,music
lks2XnoQs9E,UCtK-nd3rPl_eLeMappMWcWw,548,music
ll53WLYCT2g,UCLJi2Zps15e1jCCIUfZaPCA,157,music
llnZ93KmDfw,UCtR3hDuN5BMW9PHo9GTqTwQ,1656,music
