id,channel_id,duration(sec),domain
d3y6Lsudcw4,UCvm8V4Dwtz0fbPGbpk7RYAg,60,"film interview,fashion,podcast,parliament discussion,sports interview"
JeEgdd-ygO8,UCvm8V4Dwtz0fbPGbpk7RYAg,214,"film interview,fashion,podcast,parliament discussion,sports interview"
mmlZr7K2Wy8,UCx8MbRAMH-KNJuFLKdsmZ_w,37,podcast
0vHKFTXPiz8,UCx8MbRAMH-KNJuFLKdsmZ_w,229,podcast
FHntpWMobcA,UCx8MbRAMH-KNJuFLKdsmZ_w,133,podcast
9b4DCjh5zTM,UCvm8V4Dwtz0fbPGbpk7RYAg,87,"film interview,fashion,podcast,parliament discussion,sports interview"
Fm4KJQOXMNY,UCx8MbRAMH-KNJuFLKdsmZ_w,168,podcast
88oLUGFu7oo,UCx8MbRAMH-KNJuFLKdsmZ_w,304,podcast
4FzNs4CUPdc,UCx8MbRAMH-KNJuFLKdsmZ_w,183,podcast
X6MVi2hvPcY,UCWp94bOdN8aMWuGTHpV66kQ,181,documentary
A2E7TyKTwCQ,UCx8MbRAMH-KNJuFLKdsmZ_w,273,podcast
B4LJAj90Vik,UCx8MbRAMH-KNJuFLKdsmZ_w,116,podcast
71tyL43yhtg,UCvm8V4Dwtz0fbPGbpk7RYAg,177,"film interview,fashion,podcast,parliament discussion,sports interview"
lmm26Tuywbg,UCx8MbRAMH-KNJuFLKdsmZ_w,142,podcast
fi-h8PC9ayA,UCUw6ERBSXLzIdNdeom9lBEQ,526,kids stories
XszjQZdPouQ,UCvm8V4Dwtz0fbPGbpk7RYAg,319,"film interview,fashion,podcast,parliament discussion,sports interview"
i0xSlKSH3kg,UCx8MbRAMH-KNJuFLKdsmZ_w,97,podcast
0EQL7UDg86U,UCvg5Vl6BbhFUAEZWLueMJyA,369,health
f0httAz5m78,UCx8MbRAMH-KNJuFLKdsmZ_w,127,podcast
DhKZv2XL2jQ,UCx8MbRAMH-KNJuFLKdsmZ_w,250,podcast
OyzkiB8l9so,UCvm8V4Dwtz0fbPGbpk7RYAg,102,"film interview,fashion,podcast,parliament discussion,sports interview"
5LwGRs6bQu4,UCx8MbRAMH-KNJuFLKdsmZ_w,149,podcast
DjI8Jn722dE,UCn68MHKSGluDcSQbABxW4EQ,1397,film interview
1SRaJbABNJU,UCmLJXnDZExjAJw8-ka5iSJA,303,entertainment debates
ff5jHVuq6Qs,UCx8MbRAMH-KNJuFLKdsmZ_w,468,podcast
dPtBMVvn_4g,UCvm8V4Dwtz0fbPGbpk7RYAg,374,"film interview,fashion,podcast,parliament discussion,sports interview"
0As2GYL0lTU,UCx8MbRAMH-KNJuFLKdsmZ_w,216,podcast
VdeauaJaDlI,UCvm8V4Dwtz0fbPGbpk7RYAg,153,"film interview,fashion,podcast,parliament discussion,sports interview"
zBv7NGdcuTE,UC7VE7ZrsY5jfBYdO8Pq1DWA,679,spiritual videos
hwZKdER4vtY,UCx8MbRAMH-KNJuFLKdsmZ_w,212,podcast
7b-P0JOwsLI,UCx8MbRAMH-KNJuFLKdsmZ_w,98,podcast
jYmo2dlL3WY,UCx8MbRAMH-KNJuFLKdsmZ_w,132,podcast
A3mSmwtcEIU,UCh2tAyCpIEZlvRF9K42BbNA,2614,tv serials
oMsJGjYoLCs,UCx8MbRAMH-KNJuFLKdsmZ_w,152,podcast
iQB90x5srls,UCvm8V4Dwtz0fbPGbpk7RYAg,147,"film interview,fashion,podcast,parliament discussion,sports interview"
5dpSL2vsrAY,UCWM_Y7B2oU2zMt9BScPNWbQ,97,educational videos
oz1ypAme9f4,UCx8MbRAMH-KNJuFLKdsmZ_w,307,podcast
-r0Es5Bjtjk,UCx8MbRAMH-KNJuFLKdsmZ_w,116,podcast
089syYjFVWE,UCx8MbRAMH-KNJuFLKdsmZ_w,1799,podcast
K_JZwKZ0H-k,UCx8MbRAMH-KNJuFLKdsmZ_w,216,podcast
UNSvYvHv6TA,UCx8MbRAMH-KNJuFLKdsmZ_w,100,podcast
dVRiorqjpTY,UCx8MbRAMH-KNJuFLKdsmZ_w,165,podcast
Nm7cxz_DC3w,UCvlR1No5dUpAFGURo_6KFiw,1544,audiobook
XrpAlu-Xh1M,UCx8MbRAMH-KNJuFLKdsmZ_w,886,podcast
64M4FpPYeGY,UCx8MbRAMH-KNJuFLKdsmZ_w,46,podcast
KkgYz5ws7po,UCWp94bOdN8aMWuGTHpV66kQ,256,documentary
7wMqr4xe4kU,UCvlR1No5dUpAFGURo_6KFiw,2026,audiobook
8JD3Ukf25Ug,UCx8MbRAMH-KNJuFLKdsmZ_w,1442,podcast
ustdF9ds1yI,UCvm8V4Dwtz0fbPGbpk7RYAg,228,"film interview,fashion,podcast,parliament discussion,sports interview"
UN_ffDfyqDA,UCvm8V4Dwtz0fbPGbpk7RYAg,902,"film interview,fashion,podcast,parliament discussion,sports interview"
l6EEQzEegXw,UCvm8V4Dwtz0fbPGbpk7RYAg,129,"film interview,fashion,podcast,parliament discussion,sports interview"
lX9gymbFPE8,UCx8MbRAMH-KNJuFLKdsmZ_w,127,podcast
5UQ1I86bNzs,UCWp94bOdN8aMWuGTHpV66kQ,215,documentary
